CVE_DOC,CVE_PEDI,CVE_CLPV,FECHA_DOC,FECHA_CANCELA,CAN_TOT,CANCELADO
NC00554,F29755,3610,2021-05-06,,1000.0000000000001,No
NC00555,F29756,3610,2021-05-06,,1500.0000000000002,No
NC00556,F29781,3610,2021-05-06,,400.00000000000006,No
NC00557,F29807,3610,2021-05-06,,5600.000000000001,No
NC00558,F30581,5194,2021-05-06,,1500.0000000000002,No
NC00559,F30338,5989,2021-05-06,2021-05-06,19772.4,Si
NC00560,F30338,5989,2021-05-06,,10030.1982,No
NC00561,F34943,8289,2021-05-13,,1724.1379,No
NC00562,F34985,5854,2021-05-20,,4250.0,No
NC00563,F34558,8288,2021-06-02,,2683.19,No
NC00564,F35249,8350,2021-06-08,,1212.75,No
NC00565,F35213,5926,2021-06-11,,579.3189000000001,No
NC00566,F35210,5926,2021-06-14,,1724.1379000000002,No
NC00567,F35214,8294,2021-06-14,,710.3448,No
NC00568,F35356,8354,2021-06-22,,862.07,No
NC00569,F31935,1591,2021-07-06,,10200.0,No
NC00570,F29950,3018,2021-07-06,,3463.3017000000004,No
NC00571,F35467,8387,2021-07-15,,3424.1379,No
NC00572,F35471,5926,2021-07-22,,745.29,No
NC00573,F35470,5926,2021-08-03,,674.15,No
NC00574,F35469,5926,2021-08-03,,225.42000000000002,No
NC00575,,8377,2021-08-11,,3036.0000000000005,No
NC00576,F35728,3033,2021-08-19,,1034.48,No
NC00577,F35469,5926,2021-08-24,,225.4224,No
NC00578,F35470,5926,2021-08-24,,674.1465000000001,No
NC00579,F35471,5926,2021-08-24,,745.2931000000001,No
NC00580,F35864,5982,2021-08-30,,909.98,No
NC00581,F35019,5926,2021-09-03,,1600.0000000000002,No
NC00582,F36018,6671,2021-09-08,,663.6120000000001,No
NC00583,F34619,8145,2021-09-08,,425.00000000000006,No
NC00584,ANT NOTA 6256,2678,2021-09-13,,2586.21,No
NC00585,ANT,5926,2021-09-13,,930.0000000000001,No
NC00586,,3672,2021-09-13,,1563.0800000000002,No
NC00587,ANT.NOTA 6256,5926,2021-09-15,,711.21,No
NC00588,ANT. NOTA 5448,5850,2021-09-15,,258.62,No
NC00589,ANT NOTA 6258,4660,2021-09-15,,431.04,No
NC00590,ANT,5926,2021-09-15,,560.0300000000001,No
NC00591,,5926,2021-09-17,,792.0,No
NC00592,ANT5424,5939,2021-09-21,,517.24,No
NC00593,ANT PP02766,5926,2021-10-08,,556.0325,No
NC00594,ANT PP02776,8459,2021-10-08,,7241.000000000001,No
NC00595,ANT.,6214,2021-10-08,,12438.000000000002,No
NC00596,ANT.,93,2021-10-13,,942.0,No
NC00597,F34072,1053,2021-10-15,2021-10-15,300.0,Si
NC00598,F34072,1053,2021-10-15,,300.0,No
NC00599,ANT,5926,2021-10-19,,2482.29,No
NC00600,ANT,5968,2021-10-19,,43095.0,No
NC00601,ANT.,4858,2021-10-20,,11120.0,No
NC00602,ANT.,5926,2021-11-03,,2439.22,No
NC00603,ANT,5926,2021-11-16,,982.76,No
NC00604,ANT,8419,2021-11-17,,1312.5,No
NC00605,,5926,2021-11-17,,1293.1,No
NC00606,F35521,5926,2021-11-19,,4403.42,No
NC00607,ANT PP02769,8465,2021-11-22,,740.6,No
NC00608,ANT. PP02844,4843,2021-11-22,,3147.0000000000005,No
NC00609,ANT,8383,2021-11-24,,8951.16,No
NC00610,ANT. PP02784,6278,2021-12-07,,1873.8000000000002,No
NC00611,ANT F36536,6059,2021-12-07,,342.91,No
NC00612,ANT.F36311,5926,2021-12-09,,1890.0,No
NC00613,ANTF36821,8121,2021-12-15,,432.0,No
NC00614,ANTF36552,1600,2021-12-22,,11662.000000000002,No
NC00615, F35464,5926,2022-01-05,,258.62,No
NC00616,F36550,8483,2022-01-05,,862.07,No
NC00617,ANT 5882 F36822,5926,2022-01-05,,818.9655,No
NC00618,F37017 PP03018,8472,2022-01-07,,808.3879000000001,No
NC00619,ANT,3444,2022-01-07,,2155.17,No
NC00620,ANT,8387,2022-01-10,,5136.22,No
NC00621,ANT,8263,2022-01-12,,3419.17,No
NC00622,ANT F37004,5926,2022-01-12,,1988.8000000000002,No
NC00623,ANT F37005,5926,2022-01-12,,3570.0000000000005,No
NC00624,F37015,4797,2022-01-14,,4310.3448,No
NC00625,F37019,806,2022-01-14,,4343.0,No
NC00626,F37016,2723,2022-01-17,,3017.2400000000002,No
NC00627,F37013,47,2022-01-19,,6034.4800000000005,No
NC00628,F36309,8462,2022-01-21,,1285.5999900000002,No
NC00629,F37245,8557,2022-02-04,,1896.5517,No
NC00630,F37166,8551,2022-02-09,,2816.4741,No
NC00631,F37165,8551,2022-02-09,,8127.0,No
NC00632,F37244,5926,2022-02-09,,2500.0,No
NC00633,ANT,5926,2022-02-23,,3266.2100000000005,No
NC00634,F37246,4080,2022-02-23,,15711.706800000002,No
NC00635,F37391 PP03156,5149,2022-02-28,,2249.28,No
NC00636,ANT F37006,5926,2022-03-02,,177.6551,No
NC00637,F36823,5926,2022-03-02,,1000.7,No
NC00638,F37003,5926,2022-03-02,,760.7900000000001,No
NC00639,F37520,4527,2022-03-03,,4315.0,No
NC00640,F37507,3108,2022-03-04,,675.4000000000001,No
NC00641,F37508,6232,2022-03-04,,941.4000000000001,No
NC00642,F37501,8589,2022-03-07,,1293.1000000000001,No
NC00643,F37542,8490,2022-03-09,,1470.9,No
NC00644,F37446,6692,2022-03-11,,1551.7241000000001,No
NC00645,F37503,5926,2022-03-15,,431.03440000000006,No
NC00646,F37170,6891,2022-03-15,,1944.0000000000002,No
NC00647,F37561,5357,2022-03-16,,862.0680000000001,No
NC00648,F37504,200,2022-03-17,,1002.75,No
NC00649,F37560,8508,2022-03-18,,568.97,No
NC00650,F37505,692,2022-03-23,,2300.0,No
NC00651,ANT PP03175,1757,2022-03-28,,2586.21,No
NC00652,F37690,8617,2022-03-30,,907.5,No
NC00653,F37793,2595,2022-04-05,,431.03440000000006,No
NC00654,PP03280,8612,2022-04-05,,829.3100000000001,No
NC00655,ANTPP03274,8615,2022-04-12,,2986.59,No
NC00656,PP03298,8606,2022-04-13,,527.0,No
NC00657,PP03231,8603,2022-04-13,,535.12,No
NC00658,PP03277 F37806,93,2022-04-13,,8376.75,No
