CVE_DOC,CANT,CVE_ART,COSTO_UNITARIO_CALCULADO,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
F37547,1,TUA00102,370.94,370.94,884.26
F37553,2,P7J6C1D1A030,36.53,73.06,602.34
F37555,2,TUA00431,269.59,539.17,1391.83
F37556,4,TP0005,87.1,348.39,711.61
F37559,1,TUE00007,435.26,435.26,1829.74
F37562,4,CS38F1010A00,67.47,269.88,2026.12
F37564,5,WRE-2137,122.14,610.68,4904.32
F37565,2,BN00242,152.37,304.73,850.87
F37573,9,TUE00343,428.56,3857.05,8119.07
F37578,1,BO00056,216.65,216.65,583.35
F37579,4,TEE00017,1246.35,4985.4,3887.68
F37580,1,TP0011,143.8,143.8,326.2
F37582,10,TU5/16X203V,326.23,3262.29,2686.01
F37584,1,TU5/16X230MM,212.44,212.44,787.46
F37585,1,TUE00341,317.3,317.3,663.3
F37586,1,TUE00341,317.3,317.3,663.3
F37589,3,TUA00430,269.6,808.8,3406.95
F37594,2,CS14D2017B20,111.07,222.14,1402.92
F37602,1,TP0005,87.1,87.1,288.19
F37603,20,TEA00006,119.05,2380.95,4719.05
F37604,5,TUE00042,1666.85,8334.25,0.0
F37605,5,TP0011,143.8,719.0,1631.0
F37606,1,RM00017,2644.78,2644.78,2005.72
F37607,6,TUA00134,303.31,1819.85,7487.35
F37608,2,PT00063,673.14,1346.28,1749.72
F37610,1,TUA00432,1783.73,1783.73,2724.47
F37612,2,BB1 1/2X1/2-300W,220.0,440.0,484.0
F37612,2,TP0001,38.96,77.92,137.6
F37615,1,TUA00371,417.45,417.45,1959.55
F37620,10,CAS00075,261.77,2617.65,5775.15
F37620,15,CAS00076,351.08,5266.17,10911.33
F37622,1,BB1 1/2X1/2-300W,220.0,220.0,165.0
F37624,4,TUA00175,377.29,1509.17,7929.63
F37625,9,TUA00241,145.03,1305.27,7424.73
F37626,1,TU5/16X230MM,212.44,212.44,787.46
F37628,2,TUA00222,358.0,716.01,1714.99
F37629,2,TUE00333,195.77,195.77,1714.24
F37633,4,TUA00421,525.52,2102.1,3978.9
F37637,2,TUE00103,248.65,497.3,2202.7
F37639,5,TP0012,44.14,220.69,1654.31
F37642,1,BB1 1/2X1/2-300W,220.0,220.0,242.0
F37644,2,TUE00340,281.63,563.27,2257.93
F37646,5,BS00011,30.77,153.86,1636.14
F37649,2,TUA00124,541.44,1082.88,2133.12
F37652,6,TUS00115,70.12,420.72,2270.88
F37655,1,BL00022,112.11,112.11,597.89
F37656,20,PT00047,244.02,4880.41,8061.59
F37658,2,ECQ-01444,761.07,1522.13,4584.37
F37662,4,TP0010,106.55,426.19,921.81
F37664,2,TUA00429,626.37,1252.74,2653.78
F37665,2,TP0011,143.8,287.6,708.4
F37667,1,TUA00419,327.61,327.61,1677.89
F37672,1,BE00016,60.56,60.56,508.41
F37673,2,BL00054,174.73,349.45,1350.55
F37674,6,BO00058,300.96,1805.76,3789.24
F37676,1,TUE00207,1179.22,1179.22,435.78
F37677,1,TUA00422,319.43,319.43,859.82
F37678,1,TUA00422,319.43,319.43,859.82
F37679,1,TUA00424,417.02,417.02,1431.38
F37680,1,TUA00424,417.02,417.02,1431.38
F37685,4,BP00089,66.08,264.34,1724.46
F37687,1,TU5/16X230MM,212.44,212.44,787.46
F37688,2,P114I1D4A000,98.65,197.3,1121.66
F37692,6,BP00257,64.98,389.9,1860.1
F37692,2,TP0001,38.96,77.92,111.08
F37693,2,TP0002,51.36,102.71,203.29
F37695,2,TP0001,38.96,77.92,118.08
F37697,1,RP00165,5211.65,5211.65,8788.35
F37698,1,TP0016,222.0,222.0,510.0
F37699,2,TU5/16X230MM,200.3,400.6,1599.22
F37700,10,TP0005,87.1,870.97,1779.83
F37701,5,TUA00433,620.47,3102.37,11072.63
F37702,2,CBE00028,376.35,752.71,1742.29
F37702,1,TK00034,519.02,519.02,331.18
F37703,1,BP00259,89.76,89.76,395.54
F37703,1,BP00260,72.34,72.34,497.96
F37708,4,TUA00200,1282.76,5131.02,7254.98
F37710,2,TUE00161,116.97,233.93,3334.07
F37711,1,RP00182,2448.37,2448.37,5454.83
F37713,3,TUA00099,1273.61,3820.84,6226.16
F37714,2,PA00001,3489.32,6978.64,6821.36
F37717,1,TR51G1125A00,97.0,97.0,488.13
F37718,4,CS12E2040A00,71.53,286.12,1957.88
F37718,4,CS12F2040A00,88.34,353.34,1890.66
F37719,3,TK00063,228.89,686.66,1443.34
